Loan_id,Product_name,Price,Date,Random_int
101,Smartphone,599.99,2023-08-01,153
102,Laptop,1199.99,2023-08-02,287
103,Running Shoes,89.99,2023-08-03,62
104,Book - "The Great Adventure",19.99,2023-08-04,401
105,HD TV,799.99,2023-08-05,76
106,Dress Shirt,49.99,2023-08-06,543
107,Coffee Maker,79.99,2023-08-07,228
108,Desk,249.99,2023-08-08,915
109,Chocolate Bar,1.99,2023-08-09,742
110,Backpack,39.99,2023-08-10,309
111,Tablet,299.99,2023-08-11,680
112,Headphones,129.99,2023-08-12,198
113,Running Shorts,34.99,2023-08-13,517
114,Bluetooth Speaker,69.99,2023-08-14,854
115,Yoga Mat,29.99,2023-08-15,723
116,External Hard Drive,89.99,2023-08-16,466
117,Gaming Mouse,49.99,2023-08-17,135
118,Kitchen Blender,59.99,2023-08-18,392
119,Portable Charger,24.99,2023-08-19,578
120,Sunglasses,79.99,2023-08-20,968
121,Printer,129.99,2023-08-21,305
122,Smart Watch,199.99,2023-08-22,619
123,Office Chair,149.99,2023-08-23,874
124,Running Jacket,79.99,2023-08-24,251
125,Wireless Earbuds,79.99,2023-08-25,723
126,Gaming Console,349.99,2023-08-26,139
127,Hiking Boots,109.99,2023-08-27,506
128,Wall Clock,19.99,2023-08-28,917
129,Cookware Set,129.99,2023-08-29,336
130,Bluetooth Keyboard,59.99,2023-08-30,782
131,Plant Pot,14.99,2023-08-31,201
132,Running Tights,44.99,2023-09-01,645
133,Wireless Router,79.99,2023-09-02,412
134,Car Vacuum Cleaner,39.99,2023-09-03,730
135,Jump Rope,9.99,2023-09-04,154
136,Desk Organizer,29.99,2023-09-05,868
137,Television Stand,89.99,2023-09-06,573
138,Alarm Clock,19.99,2023-09-07,936
139,Hiking Backpack,69.99,2023-09-08,283
140,Wireless Mouse,19.99,2023-09-09,614
141,Travel Mug,14.99,2023-09-10,475
142,Gaming Chair,199.99,2023-09-11,750
143,Resistance Bands,24.99,2023-09-12,397
144,Cordless Drill,79.99,2023-09-13,124
145,Running Hat,19.99,2023-09-14,849
146,Water Bottle,9.99,2023-09-15,298
147,Portable Speaker,59.99,2023-09-16,511
148,Laptop Sleeve,19.99,2023-09-17,973
149,Travel Adapter,29.99,2023-09-18,682
,Weighted Blanket,79.99,2023-09-19,145
